"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"범죄발생총건수(A) (건)","소계","2014",계,1933835
"범죄발생총건수(A) (건)","소계","2014",서울,389353
"범죄발생총건수(A) (건)","소계","2014",부산,147945
"범죄발생총건수(A) (건)","소계","2014",대구,103469
"범죄발생총건수(A) (건)","소계","2014",인천,103861
"범죄발생총건수(A) (건)","소계","2014",광주,71182
"범죄발생총건수(A) (건)","소계","2014",대전,50232
"범죄발생총건수(A) (건)","소계","2014",울산,45490
"범죄발생총건수(A) (건)","소계","2014",세종,3717
"범죄발생총건수(A) (건)","소계","2014",경기,442902
"범죄발생총건수(A) (건)","소계","2014",강원,58772
"범죄발생총건수(A) (건)","소계","2014",충북,55437
"범죄발생총건수(A) (건)","소계","2014",충남,77187
"범죄발생총건수(A) (건)","소계","2014",전북,62694
"범죄발생총건수(A) (건)","소계","2014",전남,71866
"범죄발생총건수(A) (건)","소계","2014",경북,95509
"범죄발생총건수(A) (건)","소계","2014",경남,121986
"범죄발생총건수(A) (건)","소계","2014",제주,32233
"범죄발생총건수(A) (건)","소계","2015",계,2020731
"범죄발생총건수(A) (건)","소계","2015",서울,386488
"범죄발생총건수(A) (건)","소계","2015",부산,156472
"범죄발생총건수(A) (건)","소계","2015",대구,107728
"범죄발생총건수(A) (건)","소계","2015",인천,110230
"범죄발생총건수(A) (건)","소계","2015",광주,67136
"범죄발생총건수(A) (건)","소계","2015",대전,52193
"범죄발생총건수(A) (건)","소계","2015",울산,34213
"범죄발생총건수(A) (건)","소계","2015",세종,3897
"범죄발생총건수(A) (건)","소계","2015",경기,472930
"범죄발생총건수(A) (건)","소계","2015",강원,63243
"범죄발생총건수(A) (건)","소계","2015",충북,58288
"범죄발생총건수(A) (건)","소계","2015",충남,82007
"범죄발생총건수(A) (건)","소계","2015",전북,65686
"범죄발생총건수(A) (건)","소계","2015",전남,79687
"범죄발생총건수(A) (건)","소계","2015",경북,99762
"범죄발생총건수(A) (건)","소계","2015",경남,144936
"범죄발생총건수(A) (건)","소계","2015",제주,35835
