행정구역별,시점,거주외국인별1,거주외국인별2,합계,남자,여자
전국,2015,총인구 (명),소계,51069375,-,-
전국,2015,합계 (명),소계,1711013,921006,790007
전국,2015,한국국적을 가지지 않은 자 (명),소계,1363712,788663,575049
전국,2015,한국국적을 가지지 않은 자 (명),외국인근로자,573378,430361,143017
전국,2015,한국국적을 가지지 않은 자 (명),결혼이민자,144912,25263,119649
전국,2015,한국국적을 가지지 않은 자 (명),유학생,82181,36617,45564
전국,2015,한국국적을 가지지 않은 자 (명),외국국적동포,216213,108011,108202
전국,2015,한국국적을 가지지 않은 자 (명),기타외국인,347028,188411,158617
전국,2015,한국국적을 취득한 자 (명),소계,149751,31389,118362
전국,2015,한국국적을 취득한 자 (명),혼인귀화자,93249,10308,82941
전국,2015,한국국적을 취득한 자 (명),기타사유,56502,21081,35421
전국,2015,외국인주민자녀(출생) (명),소계,197550,100954,96596
전국,2015,외국인주민자녀(출생) (명),외국인 부모,6001,3109,2892
전국,2015,외국인주민자녀(출생) (명),외국인-한국인부모,183181,93431,89750
전국,2015,외국인주민자녀(출생) (명),한국인 부모,8368,4414,3954
전국,2015,외국인주민 세대수 (세대),소계,299241,-,-
전국,2016,총인구 (명),소계,51269554,-,-
전국,2016,합계 (명),소계,1764664,946561,818103
전국,2016,한국국적을 가지지 않은 자 (명),소계,1413758,815467,598291
전국,2016,한국국적을 가지지 않은 자 (명),외국인근로자,541673,416357,125316
전국,2016,한국국적을 가지지 않은 자 (명),결혼이민자,159501,28728,130773
전국,2016,한국국적을 가지지 않은 자 (명),유학생,95963,41861,54102
전국,2016,한국국적을 가지지 않은 자 (명),외국국적동포,235926,119263,116663
전국,2016,한국국적을 가지지 않은 자 (명),기타외국인,380695,209258,171437
전국,2016,한국국적을 취득한 자 (명),소계,159447,32816,126631
전국,2016,외국인주민자녀(출생) (명),소계,191459,98278,93181
전국,2017,총인구 (명),소계,51422507,-,-
전국,2017,합계 (명),소계,1861084,989286,871798
전국,2017,한국국적을 가지지 않은 자 (명),소계,1479247,845663,633584
전국,2017,한국국적을 가지지 않은 자 (명),외국인근로자,495792,387579,108213
전국,2017,한국국적을 가지지 않은 자 (명),결혼이민자,160653,30745,129908
전국,2017,한국국적을 가지지 않은 자 (명),유학생,117127,52258,64869
전국,2017,한국국적을 가지지 않은 자 (명),외국국적동포,276750,138002,138748
전국,2017,한국국적을 가지지 않은 자 (명),기타외국인,428925,237079,191846
전국,2017,한국국적을 취득한 자 (명),소계,169535,34762,134773
전국,2017,외국인주민자녀(출생) (명),소계,212302,108861,103441
전국,2018,총인구 (명),소계,51629512,25877195,25752317
전국,2018,합계 (명),소계,2054621,1098135,956486
전국,2018,한국국적을 가지지 않은 자 (명),소계,1651561,945641,705920
전국,2018,한국국적을 가지지 않은 자 (명),외국인근로자,528063,411036,117027
전국,2018,한국국적을 가지지 않은 자 (명),결혼이민자,166882,32858,134024
전국,2018,한국국적을 가지지 않은 자 (명),유학생,142757,66545,76212
전국,2018,한국국적을 가지지 않은 자 (명),외국국적동포,296023,147461,148562
전국,2018,한국국적을 가지지 않은 자 (명),기타외국인,517836,287741,230095
전국,2018,한국국적을 취득한 자 (명),소계,176915,36657,140258
전국,2018,외국인주민자녀(출생) (명),소계,226145,115837,110308
전국,2019,총인구 (명),소계,51779203,25952070,25827133
전국,2019,합계 (명),소계,2216612,1184176,1032436
전국,2019,한국국적을 가지지 않은 자 (명),소계,1778918,1017408,761510
전국,2019,한국국적을 가지지 않은 자 (명),외국인근로자,515051,403330,111721
전국,2019,한국국적을 가지지 않은 자 (명),결혼이민자,173882,34628,139254
전국,2019,한국국적을 가지지 않은 자 (명),유학생,160610,76048,84562
전국,2019,한국국적을 가지지 않은 자 (명),외국국적동포,303245,150687,152558
전국,2019,한국국적을 가지지 않은 자 (명),기타외국인,626130,352715,273415
전국,2019,한국국적을 취득한 자 (명),소계,185728,37684,148044
전국,2019,외국인주민자녀(출생) (명),소계,251966,129084,122882
전국,2020,총인구 (명),소계,51829136,25915207,25913929
전국,2020,합계 (명),소계,2156417,1117399,1039018
전국,2020,한국국적을 가지지 않은 자 (명),소계,1695643,942619,753024
전국,2020,한국국적을 가지지 않은 자 (명),외국인근로자,455287,358842,96445
전국,2020,한국국적을 가지지 않은 자 (명),결혼이민자,173756,35679,138077
전국,2020,한국국적을 가지지 않은 자 (명),유학생,142569,69837,72732
전국,2020,한국국적을 가지지 않은 자 (명),외국국적동포,345110,171546,173564
전국,2020,한국국적을 가지지 않은 자 (명),기타외국인,578921,306715,272206
전국,2020,한국국적을 취득한 자 (명),소계,199128,40876,158252
전국,2020,외국인주민자녀(출생) (명),소계,261646,133904,127742
전국,2021,총인구 (명),소계,51738071,25850044,25888027
전국,2021,합계 (명),소계,2134569,1090073,1044496
전국,2021,한국국적을 가지지 않은 자 (명),소계,1649967,906507,743460
전국,2021,한국국적을 가지지 않은 자 (명),외국인근로자,395175,311651,83524
전국,2021,한국국적을 가지지 않은 자 (명),결혼이민자,174632,36820,137812
전국,2021,한국국적을 가지지 않은 자 (명),유학생,156607,74048,82559
전국,2021,한국국적을 가지지 않은 자 (명),외국국적동포,368581,190232,178349
전국,2021,한국국적을 가지지 않은 자 (명),기타외국인,554972,293756,261216
전국,2021,한국국적을 취득한 자 (명),소계,210880,43467,167413
전국,2021,외국인주민자녀(출생) (명),소계,273722,140099,133623
전국,2022,총인구 (명),소계,51692272,25835298,25856974
전국,2022,합계 (명),소계,2258248,1159287,1098961
전국,2022,한국국적을 가지지 않은 자 (명),소계,1752346,968784,783562
전국,2022,한국국적을 가지지 않은 자 (명),외국인근로자,403139,323442,79697
전국,2022,한국국적을 가지지 않은 자 (명),결혼이민자,175756,39174,136582
전국,2022,한국국적을 가지지 않은 자 (명),유학생,189397,86309,103088
전국,2022,한국국적을 가지지 않은 자 (명),외국국적동포,397581,207432,190149
전국,2022,한국국적을 가지지 않은 자 (명),기타외국인,586473,312427,274046
전국,2022,한국국적을 취득한 자 (명),소계,223825,46193,177632
전국,2022,외국인주민자녀(출생) (명),소계,282077,144310,137767
서울,2015,총인구 (명),소계,9904312,-,-
서울,2015,합계 (명),소계,408083,193128,214955
서울,2015,한국국적을 가지지 않은 자 (명),소계,337116,165218,171898
서울,2015,한국국적을 가지지 않은 자 (명),외국인근로자,102081,59656,42425
서울,2015,한국국적을 가지지 않은 자 (명),결혼이민자,27573,7908,19665
서울,2015,한국국적을 가지지 않은 자 (명),유학생,31129,11316,19813
서울,2015,한국국적을 가지지 않은 자 (명),외국국적동포,80707,35877,44830
서울,2015,한국국적을 가지지 않은 자 (명),기타외국인,95626,50461,45165
서울,2015,한국국적을 취득한 자 (명),소계,40520,12574,27946
서울,2015,한국국적을 취득한 자 (명),혼인귀화자,20439,4197,16242
서울,2015,한국국적을 취득한 자 (명),기타사유,20081,8377,11704
서울,2015,외국인주민자녀(출생) (명),소계,30447,15336,15111
서울,2015,외국인주민자녀(출생) (명),외국인 부모,1963,1039,924
서울,2015,외국인주민자녀(출생) (명),외국인-한국인부모,27068,13553,13515
서울,2015,외국인주민자녀(출생) (명),한국인 부모,1416,744,672
서울,2015,외국인주민 세대수 (세대),소계,64013,-,-
서울,2016,총인구 (명),소계,9805506,-,-
서울,2016,합계 (명),소계,404037,189361,214676
서울,2016,한국국적을 가지지 않은 자 (명),소계,335167,162741,172426
서울,2016,한국국적을 가지지 않은 자 (명),외국인근로자,85878,51724,34154
서울,2016,한국국적을 가지지 않은 자 (명),결혼이민자,33139,9524,23615
서울,2016,한국국적을 가지지 않은 자 (명),유학생,37178,13049,24129
서울,2016,한국국적을 가지지 않은 자 (명),외국국적동포,80712,36109,44603
서울,2016,한국국적을 가지지 않은 자 (명),기타외국인,98260,52335,45925
서울,2016,한국국적을 취득한 자 (명),소계,40775,12411,28364
서울,2016,외국인주민자녀(출생) (명),소계,28095,14209,13886
서울,2017,총인구 (명),소계,9741871,-,-
서울,2017,합계 (명),소계,413943,192250,221693
서울,2017,한국국적을 가지지 않은 자 (명),소계,343927,165249,178678
서울,2017,한국국적을 가지지 않은 자 (명),외국인근로자,70077,43365,26712
서울,2017,한국국적을 가지지 않은 자 (명),결혼이민자,32061,9768,22293
서울,2017,한국국적을 가지지 않은 자 (명),유학생,44150,15142,29008
서울,2017,한국국적을 가지지 않은 자 (명),외국국적동포,92060,40974,51086
서울,2017,한국국적을 가지지 않은 자 (명),기타외국인,105579,56000,49579
서울,2017,한국국적을 취득한 자 (명),소계,41692,12722,28970
서울,2017,외국인주민자녀(출생) (명),소계,28324,14279,14045
서울,2018,총인구 (명),소계,9673936,4718972,4954964
서울,2018,합계 (명),소계,446473,210415,236058
서울,2018,한국국적을 가지지 않은 자 (명),소계,374425,182420,192005
서울,2018,한국국적을 가지지 않은 자 (명),외국인근로자,80567,50594,29973
서울,2018,한국국적을 가지지 않은 자 (명),결혼이민자,32677,9937,22740
서울,2018,한국국적을 가지지 않은 자 (명),유학생,50488,17676,32812
서울,2018,한국국적을 가지지 않은 자 (명),외국국적동포,93067,41613,51454
서울,2018,한국국적을 가지지 않은 자 (명),기타외국인,117626,62600,55026
서울,2018,한국국적을 취득한 자 (명),소계,42040,12854,29186
서울,2018,외국인주민자녀(출생) (명),소계,30008,15141,14867
서울,2019,총인구 (명),소계,9639541,4690440,4949101
서울,2019,합계 (명),소계,465885,219371,246514
서울,2019,한국국적을 가지지 않은 자 (명),소계,390177,189562,200615
서울,2019,한국국적을 가지지 않은 자 (명),외국인근로자,75322,47148,28174
서울,2019,한국국적을 가지지 않은 자 (명),결혼이민자,33281,10032,23249
서울,2019,한국국적을 가지지 않은 자 (명),유학생,54647,18889,35758
서울,2019,한국국적을 가지지 않은 자 (명),외국국적동포,91166,40677,50489
서울,2019,한국국적을 가지지 않은 자 (명),기타외국인,135761,72816,62945
서울,2019,한국국적을 취득한 자 (명),소계,42208,12800,29408
서울,2019,외국인주민자녀(출생) (명),소계,33500,17009,16491
서울,2020,총인구 (명),소계,9586195,4647733,4938462
서울,2020,합계 (명),소계,444443,203958,240485
서울,2020,한국국적을 가지지 않은 자 (명),소계,366454,173390,193064
